Individuals,Codes,Time_Body_Acceleration.mean...X,Time_Body_Acceleration.mean...Y,Time_Body_Acceleration.mean...Z,Time_Gravity_Acceleration.mean...X,Time_Gravity_Acceleration.mean...Y,Time_Gravity_Acceleration.mean...Z,Time_Body_Acceleration_Jerk.mean...X,Time_Body_Acceleration_Jerk.mean...Y,Time_Body_Acceleration_Jerk.mean...Z,Time_Body_Gyroscopic.mean...X,Time_Body_Gyroscopic.mean...Y,Time_Body_Gyroscopic.mean...Z,Time_Body_Gyroscopic_Jerk.mean...X,Time_Body_Gyroscopic_Jerk.mean...Y,Time_Body_Gyroscopic_Jerk.mean...Z,Time_Body_Acceleration_Magnitude.mean..,Time_Gravity_Acceleration_Magnitude.mean..,Time_Body_Acceleration_Jerk_Magnitude.mean..,Time_Body_Gyroscopic_Magnitude.mean..,Time_Body_Gyroscopic_Jerk_Magnitude.mean..,Frequency_Body_Acceleration.mean...X,Frequency_Body_Acceleration.mean...Y,Frequency_Body_Acceleration.mean...Z,Frequency_Body_Acceleration.meanFreq...X,Frequency_Body_Acceleration.meanFreq...Y,Frequency_Body_Acceleration.meanFreq...Z,Frequency_Body_Acceleration_Jerk.mean...X,Frequency_Body_Acceleration_Jerk.mean...Y,Frequency_Body_Acceleration_Jerk.mean...Z,Frequency_Body_Acceleration_Jerk.meanFreq...X,Frequency_Body_Acceleration_Jerk.meanFreq...Y,Frequency_Body_Acceleration_Jerk.meanFreq...Z,Frequency_Body_Gyroscopic.mean...X,Frequency_Body_Gyroscopic.mean...Y,Frequency_Body_Gyroscopic.mean...Z,Frequency_Body_Gyroscopic.meanFreq...X,Frequency_Body_Gyroscopic.meanFreq...Y,Frequency_Body_Gyroscopic.meanFreq...Z,Frequency_Body_Acceleration_Magnitude.mean..,Frequency_Body_Acceleration_Magnitude.meanFreq..,Frequency_Body_Acceleration_Jerk_Magnitude.mean..,Frequency_Body_Acceleration_Jerk_Magnitude.meanFreq..,Frequency_Body_Gyroscopic_Magnitude.mean..,Frequency_Body_Gyroscopic_Magnitude.meanFreq..,Frequency_Body_Gyroscopic_Jerk_Magnitude.mean..,Frequency_Body_Gyroscopic_Jerk_Magnitude.meanFreq..,angle.Time_Body_AccelerationMean.gravity.,angle.Time_Body_Acceleration_JerkMean..gravityMean.,angle.Time_Body_GyroscopicMean.gravityMean.,angle.Time_Body_Gyroscopic_JerkMean.gravityMean.,angle.X.gravityMean.,angle.Y.gravityMean.,angle.Z.gravityMean.
1,1,0.277330759,-0.017383819,-0.111148104,0.935223201,-0.282165021,-0.068102864,0.074041633,0.02827211,-0.004168406,-0.041830964,-0.069530046,0.084944817,-0.089997542,-0.039842871,-0.04613093,-0.136971177,-0.136971177,-0.141428809,-0.160979553,-0.298703679,-0.202794306,0.089712726,-0.331560118,-0.207548374,0.113093646,0.04972652,-0.170546965,-0.035225524,-0.468999225,-0.209261973,-0.386237143,-0.185530281,-0.339032197,-0.103059416,-0.25594094,0.014784499,-0.065774619,0.000773322,-0.128623451,0.190643724,-0.0571194,0.093822181,-0.199252569,0.268844368,-0.319308594,0.190663449,0.060453747,-0.007930378,0.013059491,-0.018743191,-0.729247201,0.276953023,0.068858912
1,2,0.25546169,-0.023953149,-0.097302002,0.893351098,-0.362153364,-0.07540294,0.10137273,0.019486308,-0.045562545,0.05054938,-0.166170015,0.058359546,-0.122232768,-0.042148588,-0.040712553,-0.129927631,-0.129927631,-0.466503446,-0.12673559,-0.594882865,-0.404321784,-0.190976721,-0.433349702,-0.418735,-0.160697214,-0.520114794,-0.479875246,-0.413444588,-0.685474354,-0.377023128,-0.509495532,-0.551104284,-0.492611668,-0.319474609,-0.453597213,-0.187450248,-0.473574787,-0.133373904,-0.352395945,-0.09774335,-0.442652162,0.085352409,-0.325961457,-0.219303376,-0.634665082,0.114277342,0.096086076,-0.061083841,-0.194699963,0.065683569,-0.647195664,0.334763277,0.074166368
1,3,0.28918832,-0.009918505,-0.107566191,0.931874419,-0.266610339,-0.062119959,0.054155316,0.029650449,-0.010971973,-0.03507819,-0.090937129,0.090085014,-0.073959204,-0.043990278,-0.027046106,0.027188291,0.027188291,-0.089447481,-0.075741254,-0.295463843,0.038229183,0.001549908,-0.225574472,-0.307395199,0.063220084,0.294322701,-0.027663868,-0.128667158,-0.288334736,-0.253164345,-0.337589701,0.009372239,-0.352449631,-0.055702252,-0.031869427,-0.100453729,0.082551149,-0.075676207,0.096584534,0.119187143,0.026218495,0.076491547,-0.185720286,0.349613895,-0.281963359,0.190000706,-0.002695125,0.089931687,0.063338285,-0.039976846,-0.744483753,0.267245785,0.065004707
1,4,0.261237565,-0.001308288,-0.104544182,0.831509933,0.204411593,0.332043703,0.07748252,-0.000619103,-0.003367792,-0.045350057,-0.091924155,0.062931381,-0.093679381,-0.040211812,-0.046702627,-0.948536786,-0.948536786,-0.987364196,-0.93089249,-0.991976341,-0.979641239,-0.94408455,-0.959184889,-0.049513598,0.075946077,0.23882987,-0.986597023,-0.981579467,-0.986053092,0.256610824,0.047543784,0.092392003,-0.976161464,-0.975838585,-0.951315544,0.189153021,0.063127067,-0.029783921,-0.947782923,0.236655012,-0.985262127,0.351852202,-0.958435589,-0.000262187,-0.989797547,0.184775928,0.027441548,0.029709788,0.067698134,-0.064881619,-0.59124748,-0.060466025,-0.218017225
1,5,0.278917629,-0.01613759,-0.110601818,0.942952,-0.272983832,0.013490582,0.075376654,0.007975731,-0.00368525,-0.023987735,-0.059397221,0.074800751,-0.099609213,-0.044062788,-0.048950547,-0.984278207,-0.984278207,-0.992367791,-0.976493793,-0.994966791,-0.995249933,-0.977070848,-0.985297099,0.086515362,0.117478949,0.244858586,-0.994630797,-0.985418705,-0.990752166,0.31418294,0.039161895,0.138581479,-0.986386786,-0.988984456,-0.980773123,-0.120293021,-0.044719198,0.100607635,-0.985356361,0.284555291,-0.992542478,0.422220102,-0.984617623,-0.028605773,-0.994815377,0.334498734,-0.000222341,0.021963783,-0.033793838,-0.027922932,-0.743407888,0.270175033,0.01225285
1,6,0.221598244,-0.040513953,-0.113203554,-0.248881798,0.705549773,0.44581772,0.081086534,0.003838204,0.010834236,-0.016553094,-0.064486124,0.148689436,-0.107270949,-0.041517287,-0.074050121,-0.841929153,-0.841929153,-0.954396265,-0.874759548,-0.96346103,-0.939099052,-0.867065205,-0.882666876,-0.158792671,0.097534842,0.089437655,-0.957073884,-0.92246261,-0.948060904,0.132419092,0.024513619,0.024387945,-0.850249175,-0.952191495,-0.909302721,-0.003546796,-0.091529131,0.010458126,-0.861767648,0.086408563,-0.933300361,0.266391154,-0.862190185,-0.139775013,-0.942366947,0.176485907,0.021365966,0.003060407,-0.001666985,0.084437165,0.426706226,-0.520343818,-0.352413109
2,1,0.276426586,-0.01859492,-0.105500358,0.913017333,-0.34660709,0.084727087,0.06180807,0.018249268,0.007895337,-0.053025816,-0.048238232,0.082833663,-0.081883343,-0.053829945,-0.051493916,-0.290407594,-0.290407594,-0.281424154,-0.446549093,-0.54791195,-0.346048161,-0.02190481,-0.45380637,-0.14579549,0.198586467,0.068899521,-0.304615323,-0.078764084,-0.55495671,-0.072710158,-0.263574018,-0.254846439,-0.429713536,-0.554772112,-0.396659907,0.00727968,-0.042700932,0.139752115,-0.324289428,0.393206208,-0.169064353,0.207500927,-0.530704815,0.305283825,-0.583249293,0.126344614,-0.030101738,0.05340058,0.021619677,-0.085847083,-0.66195998,0.321443012,-0.036889283
2,2,0.24716479,-0.021412113,-0.1525139,0.790717419,-0.41621489,-0.195888239,0.074450784,-0.009709855,0.019481439,-0.057691263,-0.03208831,0.068837402,-0.0828858,-0.042405371,-0.044515748,-0.10732268,-0.10732268,-0.321268911,-0.219713473,-0.572816439,-0.266720933,0.009924459,-0.281001986,-0.281748011,-0.061889446,-0.236589092,-0.25863944,-0.187842132,-0.522728063,-0.049114292,-0.287688885,-0.374218485,-0.331643577,-0.488086124,-0.248601122,-0.115324434,-0.130357851,-0.077341812,-0.145318539,0.107680395,-0.189511137,-0.011916823,-0.450612185,-0.022752769,-0.600798496,0.046743399,0.094651108,-0.007754669,0.015381561,-0.081031303,-0.477698945,0.373749043,0.165147458
2,3,0.277615348,-0.022661416,-0.116812942,0.861831346,-0.325780101,-0.043889016,0.110040616,-0.003279591,-0.020935168,-0.115947353,-0.004823292,0.097173809,-0.05810385,-0.042147026,-0.071022982,0.08995112,0.08995112,0.005655163,-0.162188587,-0.410872671,0.11284116,0.278345042,-0.131290772,-0.27371161,0.011930961,0.090367855,0.138120681,0.096209161,-0.271498721,-0.14389815,-0.357514502,-0.234703932,-0.14577597,-0.361913824,-0.087494474,-0.037529802,0.077089456,0.136774958,0.293424827,0.09383213,0.22224741,0.018835511,-0.320838544,0.103971242,-0.380175306,-0.051247964,-0.024329109,-0.006375505,0.36655118,-0.073580299,-0.62498557,0.311800313,0.053729399
2,4,0.277087352,-0.015687994,-0.109218272,0.940477273,-0.105630024,0.198726769,0.072256439,0.011695451,0.007605469,-0.045470662,-0.05992868,0.041227746,-0.093632841,-0.041560203,-0.043585097,-0.967893624,-0.967893624,-0.986774713,-0.946035087,-0.991081494,-0.985803841,-0.957343498,-0.970162173,0.085192821,0.150193956,0.096064676,-0.987848794,-0.977139703,-0.98512905,0.305546818,0.026244865,0.092903063,-0.98262139,-0.982100924,-0.959814822,0.130523121,-0.192142738,0.040947235,-0.961273748,0.130934203,-0.983874699,0.280062424,-0.971840596,-0.106358909,-0.989861951,0.194722149,0.039528431,-0.003392867,0.02097317,-0.076204197,-0.774436095,0.155857278,-0.118224399
